子供{{c1::あっての}}我が家、子供がいなかったら、即離婚だな。	あっての<br>あればの<br>あったの<br>あるべき
人気女優の楽屋は、ファンからのプレゼント{{c1::やら、やら}}花束{{c1::やら、やら}}でうずまっていた。	やら、やら<br>から、にかけて<br>から、まで<br>につけ、につけ
準備ができ{{c1::次第}}出発します。よろしいですか。	次第<br>次第で<br>次第の<br>次第より
この写真を見る{{c1::たびに}}、なくなった母を思い出す。	たびに<br>たびたび<br>たびまで<br>たびから
考える{{c1::べき}}ことは二つ、まず家族のこと、それから自分の自由についてだ。	べき<br>わけ<br>はず<br>の
いままで毎日学校へ来ていたまじめなＡ子さんは、アルバイトを初めてから、学校を休み{{c1::がち}}で、みんな心配している。	がち<br>そう<br>らしい<br>よう
もう腹がたって、腹がたって、八つ裂きにしてもたりない{{c1::ぐらいだ}}。	ぐらいだ<br>ほうだ<br>ことだ<br>すぎる
私の飲み{{c1::かけ}}のコーラは？	かけ<br>つつ<br>きり<br>がち
考えて、考えて、考え{{c1::抜いた}}結果だ。	抜いた<br>抜き<br>抜いて<br>抜く
申しわけございません。当社の責任ですから、でき{{c1::うるかぎり}}のことはさせていただきます。	うるかぎり<br>えるかぎり<br>ないかぎり<br>えないかぎり
いろいろと考えた{{c1::末}}、やっぱり大学進学をあきらめることにした。	末<br>以上<br>次第<br>際
笑っては失礼だと思い{{c1::つつ}}、笑わずにはいられなかった。	つつ<br>につけ<br>がちに<br>きり
なぜテストをするかというと、テストがないととかく学生はなまけ{{c1::がち}}になるからだ。	がち<br>気味<br>ぐせ<br>げ
危ないところ{{c1::を}}彼に助けてもらった。	を<br>に<br>が<br>か
初めて一人きりで海外出張することになった。心細い{{c1::かぎり}}だ。	かぎり<br>だらけ<br>きり<br>のみ
交渉の結果{{c1::いかん}}で、今後の対応を検討する。	いかん<br>ばかり<br>だけ<br>関して
大学で日本語を勉強する{{c1::かたわら}}、子供たちに英語を教えている。	かたわら<br>がてら<br>ながら<br>かたがた
授業が{{c1::終わる}}が早いか、教室を飛び出した。	終わる<br>終わった<br>終わらない<br>終わって
黒{{c1::ずくめ}}の男が逃げていくのが見えた。	ずくめ<br>だらけ<br>まみれ<br>だけ
努力する{{c1::こと}}なしに成功はありえない。	こと<br>さえ<br>もの<br>の
彼は何でも大げさに{{c1::言う}}きらいがある。	言う<br>言わないの<br>言わない<br>言うの
このような大災害になるとは想像{{c1::だに}}しなかった。	だに<br>だけ<br>までも<br>限り
乗客の安全のためには一瞬{{c1::たりとも}}油断できない。	たりとも<br>だけ<br>までも<br>限り
変な男が家の前を行き{{c1::つ、つ}}戻り{{c1::つ、つ}}している。	つ、つ<br>たり、たり<br>とか、とか<br>や、や
たばこを{{c1::やめて}}からというもの、食欲も出てすっかり健康になった。	やめて<br>やめた<br>やめる<br>やめない
父は家族のために、苦労を{{c1::もの}}ともせずに働いてくれた。	もの<br>なん<br>ばかり<br>こと
授業をサボって遊びに行くなんて、学生にある{{c1::まじき}}ことだ。	まじき<br>らしい<br>みたい<br>たる
祖父の人生はつらいことばかりで、涙{{c1::なしには}}かたれない。	なしには<br>ないから<br>なければ<br>ないでは
何{{c1::にも}}ましてうれしかったのは、１０年ぶりに懐かしい友達に会えたことだ。	にも<br>か<br>でも<br>さえ
彼の能力{{c1::をもって}}しても、その問題は解決できなかった。	をもって<br>と相まって<br>に応じて<br>に至るまで
子供を{{c1::救わん}}がために、命を落とした。	救わん<br>救う<br>救って<br>救おう
彼は優秀だから試験に合格しても驚く{{c1::にはあたらない}}。	にはあたらない<br>にすぎない<br>ばかりだ<br>ほかはない
努力家の姉{{c1::にひきかえ}}、弟はなまけてばかりいる。	にひきかえ<br>とばかりに<br>とともに<br>といえども
仕事を片づける{{c1::そば}}から、次の仕事を頼まれて、休む暇もない。	そば<br>あと<br>こと<br>とき
子供は母親の姿を{{c1::見る}}なり、わっと泣き出した。	見る<br>見た<br>見ない<br>見て
彼は力持ちだ。５０キロ{{c1::からある}}石を軽々と持ち上げた。	からある<br>極まる<br>はおろか<br>までの
家族の期待を{{c1::よそに}}、弟は大学をやめて遊び暮らしている。	よそに<br>もとに<br>かまわず<br>さておき
政府は税制改革{{c1::を皮切りに}}、次々と不況対策を発表した。	を皮切りに<br>に関して<br>を限りに<br>に即して
彼は重い病気にかかり、歩くどころか{{c1::起きあがることすらできない}}。	起きあがることすらできない<br>起きあがるはずがない<br>起きあがることはできる<br>起き上がれないものでもない
いくら高い車を買っても、事故を起こせば{{c1::それまでだ}}。	それまでだ<br>それからだ<br>まだまだだ<br>これからだ
早く帰れと言わんばかりの顔をされては、{{c1::帰らざるをえない}}。	帰らざるをえない<br>帰ることはない<br>帰るまでもない<br>帰らないようだ
時間に正確な彼にして遅刻してきたのだから、{{c1::事故があったにちがいない}}。	事故があったにちがいない<br>事故があった<br>事故を余儀なくされた<br>事故になるかもしれない
彼は歌が上手だからカラオケが好きかと思いきや、{{c1::嫌いだそうだ}}。	嫌いだそうだ<br>毎日行っている<br>好きなはずだ<br>好きらしい
暮らしは豊かになったといわれているが、まだまだ{{c1::聞くにたえない}}悲惨な生活を強いられている貧しい人々がいることを忘れてはならない。	聞くにたえない<br>聞くにかたくない<br>聞きがたい<br>聞くにたる
試験までもう１週間しかないのだから、今ごろになって後悔したところで{{c1::どうにもならない}}。それなら最初からもっと努力すべきだったのだ。	どうにもならない<br>どうしよう<br>どうにかすべきだ<br>どうにでもなる
最近の子供は甘やかされているとよくいわれる。しかし、厳しくしつければしつけるほどよいというものではなく、{{c1::厳しくしながらも}}子供の意見を聞いてやることが大切だ。	厳しくしながらも<br>厳しくしついでに<br>厳しくするまでもなく<br>厳しくするべからず
あのレストランは{{c1::おいしさもさることながら}}、従業員の客に対する態度が丁寧で申し分ない。	おいしさもさることながら<br>おいしいとはいえ<br>おいしくないまでも<br>おいしいからには
世界のあちこちで環境汚染が進んでいる。これは人類{{c1::のみならず}}、すべての生物にとって重大な問題だ。	のみならず<br>ならではの<br>に至っては<br>限りの
